config,instance,seed,obj_t0_checkpoint,obj_t15,obj_t30,obj_t60
no_restart,MS23d,2,375.687179,363.503785,363.503785,363.504
no_restart,MS23d,3,367.658332,363.503785,363.503785,363.504
no_restart,MS23d,4,375.868892,363.503785,363.503785,363.504
no_restart,MS23d,5,375.035126,363.503785,363.503785,363.504
no_restart,MS23d,6,377.648924,366.34688,366.34688,366.347
no_restart,MS23d,7,375.264319,369.054344,367.075681,366.347
no_restart,MS23d,8,374.697447,363.503785,363.503785,363.504
no_restart,MS23d,9,379.25275,366.34688,366.34688,366.347
no_restart,MS24d,1,215.615225,203.801788,203.044078,203.044
no_restart,MS24d,10,215.666958,207.032735,205.540943,205.541
no_restart,MS24d,2,218.370865,205.451713,204.353114,203.609
no_restart,MS24d,3,217.246593,204.111893,203.118363,203.118
no_restart,MS24d,4,219.368338,201.730555,201.730555,201.731
no_restart,MS24d,5,217.076907,203.099462,203.099462,203.099
no_restart,MS24d,6,216.227673,200.94516,199.316847,199.317
no_restart,MS24d,7,218.078787,207.731106,205.225573,204.84
no_restart,MS24d,8,214.224264,200.500366,200.500366,200.5
no_restart,MS24d,9,213.528375,205.157791,202.682197,202.144
no_restart,MS25d,1,246.388922,239.347897,239.347897,239.348
no_restart,MS25d,10,242.180152,236.672749,236.672749,236.225
no_restart,MS25d,2,245.893797,237.774208,237.774208,237.774
no_restart,MS25d,3,246.388922,235.243383,235.243383,235.243
no_restart,MS25d,4,243.396682,235.487276,235.009749,235.01
no_restart,MS25d,5,242.830211,238.86101,238.520219,238.231
no_restart,MS25d,6,244.645822,238.979996,238.979996,236.765
no_restart,MS25d,7,246.352859,236.883373,234.004026,234.004
no_restart,MS25d,8,246.360796,241.87504,241.87504,241.875
no_restart,MS25d,9,249.152367,238.44711,238.44711,238.447
no_restart,MS26d,1,364.421228,353.006035,353.006035,353.006
no_restart,MS26d,10,366.453133,354.599723,354.599723,354.6
no_restart,MS26d,2,369.190646,359.888604,359.731333,358.07
no_restart,MS26d,3,361.415038,350.670667,350.670667,350.671
no_restart,MS26d,4,371.451206,359.846667,358.316492,353.97
no_restart,MS26d,5,365.65939,358.741007,356.346133,356.346
no_restart,MS26d,6,362.89279,354.971089,354.034508,354.035
no_restart,MS26d,7,371.178777,356.964282,356.011066,354.967
no_restart,MS26d,8,370.614511,361.340346,360.432901,360.433
no_restart,MS26d,9,372.981947,360.044057,359.75659,358.192
no_restart,MS27d,1,310.843722,297.091701,291.756569,291.757
no_restart,MS27d,10,299.732578,296.465891,294.448803,293.143
no_restart,MS27d,2,306.799019,301.740095,297.452836,297.453
no_restart,MS27d,3,311.468304,297.856699,295.017292,295.017
no_restart,MS27d,4,310.595582,302.506537,296.7458,295.348
no_restart,MS27d,5,318.106919,303.307909,302.461961,298.587
no_restart,MS27d,6,316.619146,305.527282,304.951729,304.908
no_restart,MS27d,7,319.596868,293.415817,292.134037,292.134
no_restart,MS27d,8,319.410196,302.872752,299.310052,298.728
no_restart,MS27d,9,309.601804,297.405111,295.396955,293.458
no_restart,MS28d,1,365.75644,363.059732,357.797686,357.774
no_restart,MS28d,10,372.877406,372.877406,356.402229,355.279
no_restart,MS28d,2,372.858903,364.567781,358.421532,355.452
no_restart,MS28d,3,375.573453,367.857044,367.47829,363.745
no_restart,MS28d,4,369.598907,369.598907,362.33954,360.691
no_restart,MS28d,5,369.059151,367.160969,351.415172,348.083
